"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2020","9,400.0","9,595.8","9,595.8","9,400.0","0.21K","-4.48%"
"11/11/2020","9,840.6","9,791.7","10,232.3","9,693.8","7.75K","-3.83%"
"11/10/2020","10,232.3","10,085.4","10,281.3","9,400.0","0.12K","1.46%"
"11/09/2020","10,085.4","10,232.3","10,232.3","9,566.5","1.36K","5.42%"
"11/06/2020","9,566.5","9,566.5","10,966.7","9,566.5","4.12K","-6.95%"
"11/05/2020","10,281.2","11,215.9","11,215.9","9,860.7","14.94K","-2.65%"
"11/04/2020","10,561.6","11,262.6","11,262.6","10,561.6","0.07K","0.00%"
"11/03/2020","10,561.6","11,963.6","11,963.6","10,561.6","1.66K","-5.83%"
"11/02/2020","11,215.9","11,215.9","11,215.9","11,215.9","0.01K","6.20%"
"10/30/2020","10,561.6","11,309.4","11,309.4","10,561.6","0.13K","-6.61%"
"10/28/2020","11,309.4","11,309.4","11,309.4","11,309.4","0.01K","-6.92%"
"10/26/2020","12,150.6","13,926.4","13,926.4","12,150.6","0.31K","-6.81%"
"10/23/2020","13,038.5","14,019.9","14,019.9","13,038.5","0.31K","-7.00%"
"10/22/2020","14,019.9","13,038.5","14,019.9","13,038.5","0.03K","0.33%"
"10/21/2020","13,973.2","13,085.2","13,973.2","13,085.2","0.04K","6.79%"
"10/20/2020","13,085.2","13,085.2","13,085.2","13,085.2","0.01K","6.87%"
"10/19/2020","12,244.0","12,244.0","12,244.0","12,244.0","0.01K","6.50%"
"10/16/2020","11,496.3","11,589.8","11,589.8","10,468.2","1.02K","2.50%"
"10/15/2020","11,215.9","11,075.7","11,215.9","10,374.7","0.06K","0.84%"
"10/14/2020","11,122.4","11,122.4","11,122.4","11,122.4","0.05K","-6.67%"
"10/13/2020","11,916.9","11,916.9","11,916.9","11,916.9","0.03K","6.25%"
"10/12/2020","11,215.9","11,356.1","11,356.1","11,215.9","12.78K","5.26%"
